team,team_code,coach_name,first_names,last_names,nationality
Algeria,ALG,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland
Argentina,ARG,SCALONI Lionel,Lionel Sebastián,SCALONI,Argentina
Australia,AUS,POPOVIC Tony,Tony,POPOVIC,Australia
Austria,AUT,RANGNICK Ralf,Ralf Dietrich,RANGNICK,Germany
Belgium,BEL,GARCIA Rudi,Rudi José,GARCIA,France
Bosnia And Herzegovina,BIH,BARBAREZ Sergej,Sergej,BARBAREZ,Bosnia And Herzegovina
Brazil,BRA,ANCELOTTI Carlo,Carlo,ANCELOTTI,Italy
Cabo Verde,CPV,BUBISTA,Pedro,LEITÃO BRITO,Cabo Verde
Canada,CAN,MARSCH Jesse,Jesse Alan,MARSCH,USA
Colombia,COL,LORENZO Nestor,Nestor Gabriel,LORENZO,Argentina
Congo DR,COD,DESABRE Sebastien,Sebastien Serge Louis,DESABRE,France
Côte D'Ivoire,CIV,FAE Emerse E,merse,FAE,Côte D'Ivoire
Croatia,CRO,DALIC Zlatko,Zlatko,DALIĆ,Croatia
Curaçao,CUW,ADVOCAAT Dick,Dirk Nicolaas,ADVOCAAT,Netherlands
Czechia,CZE,KOUBEK Miroslav,Miroslav,KOUBEK,Czech Republic
Ecuador,ECU,BECCACECE Sebastian,Sebastián Andrés,BECCACECE,Argentina
Egypt,EGY,HOSSAM HASSAN,Hossam Hassan Hassanein,HASSAN,Egypt
England,ENG,TUCHEL Thomas,Thomas,TUCHEL,Germany
France,FRA,DESCHAMPS Didier,Didier Claude,DESCHAMPS,France
Germany,GER,NAGELSMANN Julian,Julian,NAGELSMANN,Germany
Ghana,GHA,CARLOS QUEIROZ,Carlos Manuel,BRITO LEAL DE QUEIROZ,Portugal
Haiti,HAI,MIGNE Sebastien,Sébastien Bernard Henri C,MIGNÉ,France
IR Iran,IRN,GHALEHNOY Amir,Ardeshir,GHALEHNOY,IR Iran
Iraq,IRQ,ARNOLD Graham,Graham James,ARNOLD,Australia
Japan,JPN,MORIYASU Hajime,Hajime,MORIYASU,Japan
Jordan,JOR,SELLAMI Jamal,Jamal,SELLAMI,Morocco
Korea Republic,KOR,HONG Myungbo,Myung Bo,HONG,Korea Republic
Mexico,MEX,AGUIRRE Javier,Javier,AGUIRRE ONAINDIA,Mexico
Morocco,MAR,OUAHBI Mohamed,Mohamed,OUAHBI,Morocco
Netherlands,NED,KOEMAN Ronald,Ronald,KOEMAN,Netherlands
New Zealand,NZL,BAZELEY Darren,Darren Shaun,BAZELEY,New Zealand
Norway,NOR,SOLBAKKEN Stale,Ståle,SOLBAKKEN,Norway
Panama,PAN,CHRISTIANSEN Thomas,Thomas,CHRISTIANSEN TARIN,Spain
Paraguay,PAR,ALFARO Gustavo,Gustavo Julio,ALFARO,Argentina
Portugal,POR,MARTINEZ Roberto,Roberto,MARTÍNEZ MONTOLIU,Spain
Qatar,QAT,LOPETEGUI Julen,Julian,LOPETEGUI ARGOTE,Spain
Saudi Arabia,KSA,DONIS Georgios,Georgios D,ONIS,Greece
Scotland,SCO,CLARKE Steve,Stephen,CLARKE,Scotland
Senegal,SEN,THIAW Pape,Pape Bouna,THIAW,Senegal
South Africa,RSA,BROOS Hugo,Hugo Henri,BROOS,Belgium
Spain,ESP,DE LA FUENTE Luis,Luis,DE LA FUENTE CASTILLO,Spain
Sweden,SWE,POTTER Graham,Graham Stephen,POTTER,England
Switzerland,SUI,YAKIN Murat,Murat,YAKIN,Switzerland
Tunisia,TUN,LAMOUCHI Sabri,Sabri,LAMOUCHI,France
Türkiye,TUR,MONTELLA Vincenzo,Vincenzo,MONTELLA,Italy
Uruguay,URU,BIELSA Marcelo,Marcelo Alberto,BIELSA,Argentina
USA,USA,POCHETTINO Mauricio,Mauricio Roberto,POCHETTINO TROSSERO,Argentina
Uzbekistan,UZB,CANNAVARO Fabio,Fabio,CANNAVARO,Italy
