scope,features,window,days,model,n_train,rps,rps_lo,rps_hi,hpo_degenerate,tuning_fits
multistep,best,1mo,30,CatBoost,133,0.21308649038046204,0.19737830758017696,0.22879467318074712,true,0
multistep,best,6mo,182,CatBoost,376,0.20901037430458264,0.1855107134916252,0.23251003511754006,true,90
multistep,best,1y,365,CatBoost,850,0.19844013065664945,0.17475576815995938,0.22212449315333951,false,150
multistep,best,2y,730,CatBoost,1849,0.19835967768333024,0.17461101476338287,0.2221083406032776,false,150
multistep,best,5y,1826,CatBoost,4571,0.1987424126310836,0.16948910310906637,0.22799572215310085,false,150
multistep,best,8y,2922,CatBoost,7254,0.19730238471690803,0.1693312282542822,0.22527354117953385,false,150
multistep,best,1mo,30,LogReg,133,0.23315072527551553,0.2227613631262982,0.24354008742473285,true,0
multistep,best,6mo,182,LogReg,376,0.22054429294620648,0.18160046033108102,0.25948812556133194,true,108
multistep,best,1y,365,LogReg,850,0.19948410205207087,0.17412714687637895,0.2248410572277628,false,180
multistep,best,2y,730,LogReg,1849,0.19981555784865204,0.17257247039901633,0.22705864529828776,false,180
multistep,best,5y,1826,LogReg,4571,0.19854988808480148,0.17994467220881738,0.21715510396078558,false,180
multistep,best,8y,2922,LogReg,7254,0.19953380783747948,0.18244475421225434,0.21662286146270462,false,180
multistep,best,1mo,30,TabICL,133,0.21056803900077675,0.1917544614361434,0.22938161656541012,false,0
multistep,best,6mo,182,TabICL,376,0.20003355925667776,0.17449010834706075,0.22557701016629478,false,0
multistep,best,1y,365,TabICL,850,0.19556620800571325,0.16702658226815023,0.22410583374327628,false,0
multistep,best,2y,730,TabICL,1849,0.19611455748671652,0.16685930911812752,0.22536980585530553,false,0
multistep,best,5y,1826,TabICL,4571,0.196839887888421,0.16663189339565274,0.22704788238118925,false,0
multistep,best,8y,2922,TabICL,7254,0.19758935244404624,0.16733238013806037,0.2278463247500321,false,0
multistep,best,1mo,30,TabPFN,133,0.20926244753194467,0.19551876641816066,0.2230061286457287,false,0
multistep,best,6mo,182,TabPFN,376,0.20042190956650802,0.17470138873898955,0.22614243039402648,false,0
multistep,best,1y,365,TabPFN,850,0.19598333193226014,0.16780275131745626,0.22416391254706403,false,0
multistep,best,2y,730,TabPFN,1849,0.19647355264861846,0.16720828499241752,0.2257388203048194,false,0
multistep,best,5y,1826,TabPFN,4571,0.19686919419821391,0.1673439528793959,0.22639443551703192,false,0
multistep,best,8y,2922,TabPFN,7254,0.19732648187276997,0.16745676979988197,0.22719619394565796,false,0
multistep,best,1mo,30,XGBoost,133,0.22109451842587108,0.19959058069176897,0.2425984561599732,true,0
multistep,best,6mo,182,XGBoost,376,0.2122657477559001,0.1785428602091313,0.2459886353026689,true,90
multistep,best,1y,365,XGBoost,850,0.19907603457960343,0.17286838219260586,0.225283686966601,false,150
multistep,best,2y,730,XGBoost,1849,0.20038213076586656,0.17581688024741632,0.2249473812843168,false,150
multistep,best,5y,1826,XGBoost,4571,0.19836234372473163,0.1713059578522734,0.22541872959718987,false,150
multistep,best,8y,2922,XGBoost,7254,0.19858097555603288,0.1700878852801206,0.22707406583194517,false,150
multistep,few,1mo,30,CatBoost,133,0.20769583410397616,0.19871782319397427,0.21667384501397804,true,0
multistep,few,6mo,182,CatBoost,376,0.1986463380290831,0.17643734396679556,0.22085533209137065,true,90
multistep,few,1y,365,CatBoost,850,0.19733333145416107,0.17708384888941658,0.21758281401890556,false,150
multistep,few,2y,730,CatBoost,1849,0.1983526965616064,0.17740930434352548,0.21929608877968731,false,150
multistep,few,5y,1826,CatBoost,4571,0.19734927688326534,0.17861607636934357,0.2160824773971871,false,150
multistep,few,8y,2922,CatBoost,7254,0.19819926175359687,0.1800314203466909,0.21636710316050284,false,150
multistep,few,1mo,30,LogReg,133,0.2189969790946235,0.20618914227550195,0.23180481591374508,true,0
multistep,few,6mo,182,LogReg,376,0.2011649563798191,0.17592877809846116,0.22640113466117703,true,108
multistep,few,1y,365,LogReg,850,0.1957971355947706,0.17081271863143382,0.22078155255810739,false,180
multistep,few,2y,730,LogReg,1849,0.19750192802775296,0.17258246233767235,0.22242139371783357,false,180
multistep,few,5y,1826,LogReg,4571,0.19697941085935872,0.18119001795926318,0.21276880375945426,false,180
multistep,few,8y,2922,LogReg,7254,0.19613341568662332,0.17833525540950235,0.2139315759637443,false,180
multistep,few,1mo,30,TabICL,133,0.2095574824975392,0.18780204197927958,0.2313129230157988,false,0
multistep,few,6mo,182,TabICL,376,0.197029085318486,0.16835121033461997,0.22570696030235204,false,0
multistep,few,1y,365,TabICL,850,0.19563305528674993,0.1677231947061796,0.22354291586732025,false,0
multistep,few,2y,730,TabICL,1849,0.19755951810961095,0.1688824202893104,0.2262366159299115,false,0
multistep,few,5y,1826,TabICL,4571,0.19986380259122122,0.17431963218719757,0.22540797299524487,false,0
multistep,few,8y,2922,TabICL,7254,0.20056392725229671,0.17625277469344197,0.22487507981115146,false,0
multistep,few,1mo,30,TabPFN,133,0.2019262350356799,0.18190668380954259,0.22194578626181724,false,0
multistep,few,6mo,182,TabPFN,376,0.19649991188069482,0.17109836291887998,0.22190146084250967,false,0
multistep,few,1y,365,TabPFN,850,0.19495092519647295,0.16742823074199764,0.22247361965094825,false,0
multistep,few,2y,730,TabPFN,1849,0.19721329326927745,0.1679763244968026,0.22645026204175228,false,0
multistep,few,5y,1826,TabPFN,4571,0.19733414402700142,0.17224787667195182,0.22242041138205101,false,0
multistep,few,8y,2922,TabPFN,7254,0.19803239107209453,0.1739770659581807,0.22208771618600837,false,0
multistep,few,1mo,30,XGBoost,133,0.21671200354738054,0.20487468633315076,0.22854932076161033,true,0
multistep,few,6mo,182,XGBoost,376,0.20794239143198062,0.18390594484744704,0.2319788380165142,true,90
multistep,few,1y,365,XGBoost,850,0.20098314162404277,0.1789692170576555,0.22299706619043003,false,150
multistep,few,2y,730,XGBoost,1849,0.20032918966097135,0.17675985184201157,0.22389852747993114,false,150
multistep,few,5y,1826,XGBoost,4571,0.20066885158139888,0.17973840408976222,0.22159929907303555,false,150
multistep,few,8y,2922,XGBoost,7254,0.19929925537676754,0.17537592273840763,0.22322258801512745,false,150
