scope,features,window,days,model,n_train,rps,rps_lo,rps_hi,hpo_degenerate,tuning_fits,params
onestep,best,1mo,30,CatBoost,57,0.18248657732205645,0.18156402138747468,0.1834091332566382,true,0,"{""depth"": 3, ""l2_leaf_reg"": 10.0, ""iterations"": 200, ""learning_rate"": 0.05}"
onestep,best,6mo,182,CatBoost,628,0.1721395275737082,0.17169393682458806,0.17258511832282836,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,best,1y,365,CatBoost,1115,0.17099849688928326,0.1705531178631044,0.17144387591546212,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,best,2y,730,CatBoost,1462,0.17114053334892532,0.17077043091659552,0.1715106357812551,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,best,5y,1826,CatBoost,4464,0.16919746093311674,0.16897054549556154,0.16942437637067195,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,best,8y,2922,CatBoost,7279,0.1680748644757952,0.16764686284109448,0.16850286611049592,false,30,"{""iterations"": 800, ""depth"": 4, ""learning_rate"": 0.02516607127550297, ""l2_leaf_reg"": 6.741204610702761}"
onestep,best,1mo,30,LogReg,57,0.18187194010679472,0.18187194010679472,0.18187194010679472,true,0,"{""C"": 0.01, ""penalty"": ""l2"", ""max_iter"": 2000}"
onestep,best,6mo,182,LogReg,628,0.16968947302598805,0.16968743647719714,0.16969150957477896,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,best,1y,365,LogReg,1115,0.1710329077916421,0.1710313606896853,0.1710344548935989,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,best,2y,730,LogReg,1462,0.17595653849475695,0.17595653849475695,0.17595653849475695,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,best,5y,1826,LogReg,4464,0.16876050515286364,0.16876050515286364,0.16876050515286364,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
