scope,features,window,days,best_fm,rps_fm,best_classical,rps_classical,delta_fm_minus_cl,CI95,p_fm_better,hpo_degenerate
onestep,few,1mo,30,TabPFN,0.1701,LogReg,0.1782,0.0081,"[0.0065, 0.0091]",0.0,true
onestep,few,6mo,182,TabPFN,0.17,LogReg,0.171,0.001,"[-0.0003, 0.0022]",0.0325,false
onestep,few,1y,365,TabPFN,0.1696,LogReg,0.1704,0.0008,"[-0.0006, 0.0022]",0.186,false
onestep,few,2y,730,TabICL,0.1699,LogReg,0.1702,0.0004,"[-0.0005, 0.0011]",0.201,false
onestep,few,5y,1826,TabICL,0.1694,LogReg,0.1696,0.0002,"[-0.0005, 0.0015]",0.297,false
onestep,few,8y,2922,TabICL,0.1692,XGBoost,0.1693,0.0001,"[-0.0002, 0.0003]",0.264,false
onestep,best,1mo,30,TabPFN,0.1708,LogReg,0.1819,0.0111,"[0.0082, 0.0134]",0.0,true
onestep,best,6mo,182,TabPFN,0.1684,LogReg,0.1697,0.0012,"[0.0002, 0.0020]",0.0045,false
onestep,best,1y,365,TabICL,0.1688,CatBoost,0.171,0.0018,"[0.0010, 0.0029]",0.0,false
onestep,best,2y,730,TabICL,0.169,CatBoost,0.1711,0.0017,"[0.0007, 0.0022]",0.003,false
onestep,best,5y,1826,TabPFN,0.1675,LogReg,0.1688,0.0012,"[0.0003, 0.0024]",0.0,false
onestep,best,8y,2922,TabICL,0.1678,CatBoost,0.1681,-0.0001,"[-0.0005, 0.0002]",0.6955,false
multistep,few,1mo,30,TabPFN,0.2019,CatBoost,0.2077,0.0058,"[-0.0016, 0.0132]",0.068,true
multistep,few,6mo,182,TabPFN,0.1965,CatBoost,0.1986,0.0021,"[-0.0025, 0.0061]",0.172,true
multistep,few,1y,365,TabPFN,0.195,LogReg,0.1958,0.0008,"[-0.0013, 0.0031]",0.203,false
multistep,few,2y,730,TabPFN,0.1972,LogReg,0.1975,0.0003,"[-0.0030, 0.0029]",0.4125,false
multistep,few,5y,1826,TabPFN,0.1973,LogReg,0.197,-0.0004,"[-0.0078, 0.0072]",0.6465,false
multistep,few,8y,2922,TabPFN,0.198,LogReg,0.1961,-0.0019,"[-0.0072, 0.0038]",0.755,false
multistep,best,1mo,30,TabPFN,0.2093,CatBoost,0.2131,0.0038,"[0.0019, 0.0057]",0.0,true
multistep,best,6mo,182,TabICL,0.2,CatBoost,0.209,0.009,"[0.0012, 0.0169]",0.0095,true
multistep,best,1y,365,TabICL,0.1956,CatBoost,0.1984,0.0029,"[-0.0016, 0.0066]",0.1085,false
multistep,best,2y,730,TabICL,0.1961,CatBoost,0.1984,0.0022,"[-0.0018, 0.0060]",0.1335,false
multistep,best,5y,1826,TabICL,0.1968,XGBoost,0.1984,0.0015,"[-0.0020, 0.0049]",0.194,false
multistep,best,8y,2922,TabPFN,0.1973,CatBoost,0.1973,-0.0,"[-0.0032, 0.0032]",0.545,false
