model,step,n_features,rps
CatBoost,0,1,0.20662022056533985
CatBoost,1,1,0.17050998141584509
CatBoost,2,2,0.17020356922276883
CatBoost,3,3,0.17131004109226453
CatBoost,4,4,0.16999000835316086
CatBoost,5,5,0.16953099928283738
CatBoost,6,6,0.17068446285694588
CatBoost,7,7,0.17006087733297323
CatBoost,8,8,0.17008643523386804
CatBoost,9,9,0.17056808753589317
CatBoost,10,10,0.1703278860417586
CatBoost,11,11,0.1700954430496223
CatBoost,12,12,0.1697838845809529
CatBoost,13,13,0.1697170620834033
CatBoost,14,14,0.16989285492286324
CatBoost,15,15,0.1699571762355923
CatBoost,16,16,0.16968743607551964
CatBoost,17,17,0.16916017358069516
CatBoost,18,18,0.17018609535618515
CatBoost,19,19,0.16923417877729854
CatBoost,20,20,0.16923417877729854
CatBoost,21,21,0.16923417877729854
CatBoost,22,22,0.16923417877729854
CatBoost,23,23,0.16923417877729854
CatBoost,24,24,0.16923417877729854
CatBoost,25,25,0.16923417877729854
CatBoost,26,26,0.16923417877729854
CatBoost,27,27,0.16923417877729854
CatBoost,28,28,0.16923417877729854
CatBoost,29,29,0.16923417877729854
CatBoost,30,30,0.16923417877729854
CatBoost,31,31,0.16923417877729854
CatBoost,32,32,0.16923417877729854
CatBoost,33,33,0.16923417877729854
CatBoost,34,34,0.16923417877729854
CatBoost,35,35,0.16923417877729854
CatBoost,36,36,0.16923417877729854
CatBoost,37,37,0.16923417877729854
CatBoost,38,38,0.16923417877729854
CatBoost,39,39,0.16923417877729854
CatBoost,40,40,0.16923417877729854
CatBoost,41,41,0.16923417877729854
CatBoost,42,42,0.16923417877729854
CatBoost,43,43,0.16923417877729854
CatBoost,44,44,0.16923417877729854
CatBoost,45,45,0.16923417877729854
CatBoost,107,107,0.1685969586350527
LogReg,0,1,0.20600207682951513
LogReg,1,1,0.16999643425675953
LogReg,2,2,0.17018169913819012
LogReg,3,3,0.17070053733567483
LogReg,4,4,0.17029561541259614
LogReg,5,5,0.17062124766540404
LogReg,6,6,0.17058221719430355
LogReg,7,7,0.17050840320867125
LogReg,8,8,0.16983461221613055
LogReg,9,9,0.1697242864522636
LogReg,10,10,0.1698301588879065
LogReg,11,11,0.16990793436596305
LogReg,12,12,0.17005784924434605
LogReg,13,13,0.1694031449343986
LogReg,14,14,0.1690066998679167
LogReg,15,15,0.16919243960573785
LogReg,16,16,0.16932855812162664
LogReg,17,17,0.16914324230032257
LogReg,18,18,0.1692131815741199
LogReg,19,19,0.1691437738841823
LogReg,20,20,0.16914377388378513
LogReg,21,21,0.16914377388376045
LogReg,22,22,0.16914377388422777
LogReg,23,23,0.1691437738842344
LogReg,24,24,0.16914377388383559
LogReg,25,25,0.1691437738843126
LogReg,26,26,0.1691437738837129
LogReg,27,27,0.16914377388416052
LogReg,28,28,0.16914377388383559
LogReg,29,29,0.16914377388373647
LogReg,30,30,0.16914377388422777
LogReg,31,31,0.16914377388408036
LogReg,32,32,0.16914377388371907
LogReg,33,33,0.16914377388371057
LogReg,34,34,0.16914377388372592
LogReg,35,35,0.1691437738838606
LogReg,36,36,0.16914377388371907
LogReg,37,37,0.16914377388371146
LogReg,38,38,0.16914377388373047
LogReg,39,39,0.16914377388397706
LogReg,40,40,0.16914377388371907
LogReg,41,41,0.16914377388371057
LogReg,42,42,0.16914377388387516
LogReg,43,43,0.16914377388386356
LogReg,44,44,0.16914377388422921
LogReg,45,45,0.16914377388432375
LogReg,107,107,0.16846581951553935
TabICL,0,1,0.20555779657690548
TabICL,1,1,0.1700250756353655
TabICL,2,2,0.17021547016452182
TabICL,3,3,0.17021973446525995
TabICL,5,5,0.16989484844354144
TabICL,8,8,0.16952282569832328
TabICL,15,15,0.1688078653378964
TabICL,30,30,0.16925281858661056
