era,n_test,model,RPS
2015-2016,1959,LogReg,0.1729
2015-2016,1959,CatBoost,0.1727
2015-2016,1959,XGBoost,0.1736
2015-2016,1959,TabPFN,0.1733
2015-2016,1959,TabICL,0.1724
2017-2018,1853,LogReg,0.1837
2017-2018,1853,CatBoost,0.1838
2017-2018,1853,XGBoost,0.1857
2017-2018,1853,TabPFN,0.1828
2017-2018,1853,TabICL,0.1827
2019-2020,1496,LogReg,0.1727
2019-2020,1496,CatBoost,0.1759
2019-2020,1496,XGBoost,0.1779
2019-2020,1496,TabPFN,0.173
2019-2020,1496,TabICL,0.1727
2021-2022,2085,LogReg,0.1687
2021-2022,2085,CatBoost,0.1681
2021-2022,2085,XGBoost,0.1703
2021-2022,2085,TabPFN,0.1674
2021-2022,2085,TabICL,0.1665
2023-2026,3597,LogReg,0.1695
2023-2026,3597,CatBoost,0.1682
2023-2026,3597,XGBoost,0.1695
2023-2026,3597,TabPFN,0.168
2023-2026,3597,TabICL,0.1678
