feature,mean_rank,std_rank,top5_freq,top10_freq
elo_diff_eff,1.0,0.0,1.0,1.0
ga_pg_5_home,2.0,0.0,1.0,1.0
away_elo_pre,3.0,0.0,1.0,1.0
rest_days_diff,5.08,0.76,0.83,1.0
ppg_5_home,8.0,4.26,0.17,0.92
elo_momentum_diff,8.5,5.74,0.58,0.67
matches_90d_diff,9.08,5.12,0.08,0.75
win_rate_10_away,10.83,2.23,0.0,0.33
days_since_last_meeting,11.42,4.41,0.0,0.58
h2h_home_winrate,12.17,4.65,0.0,0.5
gd_pg_10_diff,12.92,5.01,0.0,0.42
matches_30d_diff,14.33,5.45,0.08,0.33
is_knockout,15.25,6.73,0.08,0.33
cs_rate_10_diff,15.92,6.21,0.17,0.17
over25_rate_5_home,16.25,4.55,0.0,0.17
ppg_5_diff,17.5,4.72,0.0,0.17
win_rate_5_away,17.58,4.17,0.0,0.0
cs_rate_5_away,18.0,4.14,0.0,0.08
cs_rate_5_home,18.17,4.98,0.0,0.17
gd_pg_5_home,18.42,3.95,0.0,0.08
gf_pg_5_diff,18.42,3.82,0.0,0.0
cs_rate_5_diff,18.5,3.3,0.0,0.0
adj_gd_10_home,19.08,4.33,0.0,0.08
win_rate_5_diff,19.25,2.42,0.0,0.0
gf_pg_5_home,19.42,2.33,0.0,0.0
elo_momentum_home,19.42,3.55,0.0,0.08
gf_pg_10_diff,19.5,2.81,0.0,0.0
is_world_cup,19.5,3.45,0.0,0.08
cs_rate_10_home,19.92,1.89,0.0,0.0
over25_rate_10_home,20.0,3.32,0.0,0.08
venue_altitude_m,20.17,1.07,0.0,0.0
adj_ppg_10_away,20.25,1.36,0.0,0.0
ppg_5_away,20.33,2.21,0.0,0.0
elo_momentum_away,20.33,2.21,0.0,0.0
ga_pg_10_diff,20.42,1.93,0.0,0.0
is_home_country_away,20.42,0.86,0.0,0.0
matches_30d_home,20.5,1.66,0.0,0.0
cs_rate_10_away,20.5,1.66,0.0,0.0
h2h_avg_total_goals,20.5,1.19,0.0,0.0
gf_pg_10_home,20.58,1.38,0.0,0.0
matches_90d_away,20.58,1.38,0.0,0.0
is_home_country_home,20.58,1.38,0.0,0.0
rest_days_home,20.75,0.83,0.0,0.0
matches_90d_home,20.75,0.83,0.0,0.0
ppg_10_away,20.75,0.83,0.0,0.0
elo_diff,20.75,0.83,0.0,0.0
host_confed_match_home,20.75,0.6,0.0,0.0
home_elo_pre,20.83,0.55,0.0,0.0
elo_sum,20.92,0.28,0.0,0.0
host_confed_match_away,20.92,0.28,0.0,0.0
neutral,21.0,0.0,0.0,0.0
year,21.0,0.0,0.0,0.0
win_rate_5_home,21.0,0.0,0.0,0.0
ppg_10_home,21.0,0.0,0.0,0.0
ga_pg_10_home,21.0,0.0,0.0,0.0
gd_pg_10_home,21.0,0.0,0.0,0.0
win_rate_10_home,21.0,0.0,0.0,0.0
adj_ppg_10_home,21.0,0.0,0.0,0.0
gf_pg_5_away,21.0,0.0,0.0,0.0
ga_pg_5_away,21.0,0.0,0.0,0.0
gd_pg_5_away,21.0,0.0,0.0,0.0
over25_rate_5_away,21.0,0.0,0.0,0.0
gf_pg_10_away,21.0,0.0,0.0,0.0
ga_pg_10_away,21.0,0.0,0.0,0.0
gd_pg_10_away,21.0,0.0,0.0,0.0
over25_rate_10_away,21.0,0.0,0.0,0.0
adj_gd_10_away,21.0,0.0,0.0,0.0
rest_days_away,21.0,0.0,0.0,0.0
matches_30d_away,21.0,0.0,0.0,0.0
ga_pg_5_diff,21.0,0.0,0.0,0.0
gd_pg_5_diff,21.0,0.0,0.0,0.0
over25_rate_5_diff,21.0,0.0,0.0,0.0
ppg_10_diff,21.0,0.0,0.0,0.0
win_rate_10_diff,21.0,0.0,0.0,0.0
over25_rate_10_diff,21.0,0.0,0.0,0.0
adj_ppg_10_diff,21.0,0.0,0.0,0.0
adj_gd_10_diff,21.0,0.0,0.0,0.0
tournament_importance,21.0,0.0,0.0,0.0
is_competitive,21.0,0.0,0.0,0.0
h2h_n,21.0,0.0,0.0,0.0
host_proximity_home,21.0,0.0,0.0,0.0
host_proximity_away,21.0,0.0,0.0,0.0
squad_avg_age_home,21.0,0.0,0.0,0.0
squad_avg_height_home,21.0,0.0,0.0,0.0
share_abroad_home,21.0,0.0,0.0,0.0
share_top5_league_home,21.0,0.0,0.0,0.0
star_caps_home,21.0,0.0,0.0,0.0
star_goals_home,21.0,0.0,0.0,0.0
goal_concentration_home,21.0,0.0,0.0,0.0
squad_def_height_home,21.0,0.0,0.0,0.0
squad_avg_age_away,21.0,0.0,0.0,0.0
squad_avg_height_away,21.0,0.0,0.0,0.0
share_abroad_away,21.0,0.0,0.0,0.0
share_top5_league_away,21.0,0.0,0.0,0.0
star_caps_away,21.0,0.0,0.0,0.0
star_goals_away,21.0,0.0,0.0,0.0
goal_concentration_away,21.0,0.0,0.0,0.0
squad_def_height_away,21.0,0.0,0.0,0.0
squad_avg_age_diff,21.0,0.0,0.0,0.0
squad_avg_height_diff,21.0,0.0,0.0,0.0
squad_def_height_diff,21.0,0.0,0.0,0.0
share_abroad_diff,21.0,0.0,0.0,0.0
share_top5_league_diff,21.0,0.0,0.0,0.0
star_caps_diff,21.0,0.0,0.0,0.0
star_goals_diff,21.0,0.0,0.0,0.0
goal_concentration_diff,21.0,0.0,0.0,0.0
elo_winprob,21.0,0.0,0.0,0.0
